accident_id,district_code,accident_month,accident_hour,accident_weekday,accident_category_code,accident_type_code,involves_bicycle,involves_car,involves_pedestrian,involves_motorcycle,longitude,latitude
219120,1,12,9,1,3,6,f,f,t,f,13.35034674,52.53239077
219118,11,11,7,3,2,3,f,f,f,t,13.50936762,52.53495511
219116,10,12,10,3,3,2,f,f,f,f,13.54613779,52.50524328
219115,3,12,12,1,2,0,f,t,f,f,13.41530801,52.60499612
219114,1,12,20,5,3,8,f,t,f,f,13.33223014,52.54585781
219111,12,12,17,6,3,0,f,f,t,f,13.35592679,52.59819378
219110,3,12,16,6,3,5,t,t,f,f,13.43649048,52.54846501
219109,9,12,13,7,3,6,f,t,t,f,13.57406078,52.45686124
219108,4,12,18,4,2,5,f,t,f,f,13.29750767,52.53458142
219107,4,12,14,2,3,6,f,t,t,f,13.27028079,52.51078164
219105,1,12,12,4,3,5,t,t,f,f,13.3413303,52.50519316
219104,5,12,11,7,3,2,f,t,f,f,13.19595622,52.53695567
219102,1,12,14,5,3,5,f,f,f,f,13.33777783,52.525187
219099,2,12,5,2,2,6,f,t,t,f,13.42221822,52.50048862
219098,1,12,16,3,3,2,f,t,f,f,13.35074302,52.51166314
219097,2,12,19,4,3,5,t,t,f,f,13.46440441,52.50991559
219096,6,12,16,2,3,2,f,t,f,f,13.35498438,52.42852319
219094,2,12,14,5,3,1,t,t,f,f,13.38428038,52.4958187
219093,2,12,7,5,3,5,t,t,f,f,13.4077683,52.48889641
219091,2,12,22,7,3,2,f,t,f,f,13.44065024,52.5171527
219088,7,12,13,3,3,2,t,t,f,f,13.36349874,52.47828799
219087,8,12,17,4,3,5,f,t,f,f,13.49036022,52.42794209
219086,1,12,14,7,3,2,t,t,f,f,13.35770887,52.50115514
219085,11,12,19,6,3,0,f,f,f,t,13.48373716,52.5661524
219084,4,12,15,7,3,5,f,t,f,f,13.31276605,52.48045524
219082,1,12,16,6,2,6,f,t,t,f,13.35607778,52.55532798
219080,3,11,17,2,2,2,f,t,f,f,13.45574569,52.5308907
219079,10,12,11,2,3,2,f,t,f,f,13.59763953,52.5025639
219078,1,12,17,3,3,1,t,t,f,f,13.36139663,52.50012696
219077,9,12,23,1,3,1,f,t,f,f,13.57494331,52.46690759
219075,4,12,16,7,3,5,f,t,f,f,13.32021327,52.48366392
219074,6,12,18,3,3,5,f,t,f,f,13.34230935,52.45052458
219072,10,12,9,5,2,4,f,t,f,f,13.52685607,52.53216223
219070,11,12,14,5,3,5,f,t,f,f,13.51592723,52.50570196
219069,3,12,8,2,3,6,f,t,t,f,13.43401815,52.54983167
219068,9,12,21,1,3,5,t,t,f,f,13.48138962,52.46080819
219067,1,11,7,3,3,6,f,t,t,f,13.34486166,52.53913834
219066,2,12,17,2,3,0,t,f,f,f,13.43294346,52.51806404
219064,11,12,16,5,3,5,t,t,f,f,13.47440847,52.50448
219062,1,12,19,7,3,6,f,t,t,f,13.386403,52.55864843
219059,9,12,18,3,3,2,f,t,f,f,13.47566899,52.45637597
219058,1,12,23,4,2,3,f,t,f,f,13.39623921,52.53795755
219057,3,12,18,4,3,5,f,t,f,f,13.40210555,52.60285746
219055,12,12,21,5,3,6,f,t,t,f,13.36053212,52.5968058
219054,8,12,10,6,3,6,f,t,t,f,13.42115794,52.49554755
219052,2,12,13,5,3,5,t,t,f,f,13.4587347,52.52048014
219050,4,12,16,5,3,6,f,t,t,f,13.33427807,52.49859044
219047,1,12,14,1,3,2,t,t,f,f,13.3935253,52.51233654
219046,4,12,20,4,2,6,f,t,t,f,13.3308363,52.48601886
219045,10,12,15,5,3,6,f,t,t,f,13.584013,52.52420984
219044,8,12,10,3,3,6,f,t,t,f,13.48995252,52.42013961
219042,1,12,7,5,2,6,f,f,t,f,13.33403436,52.52354894
219041,3,12,19,5,3,1,t,t,f,f,13.42349506,52.54316133
219039,1,12,17,7,3,5,f,t,f,f,13.37860392,52.5447804
219037,2,12,21,3,3,5,f,t,f,t,13.46687475,52.52016894
219036,6,12,19,4,3,6,f,t,t,f,13.27780476,52.43192471
219035,4,12,16,6,3,5,f,t,f,f,13.30764028,52.46823373
219033,10,12,13,6,3,5,t,t,f,f,13.55827873,52.55399136
219032,2,11,14,2,3,2,f,t,f,f,13.43944436,52.50237489
219031,9,12,23,7,3,0,f,f,t,f,13.54274072,52.42387048
219030,6,12,17,4,3,2,f,t,f,f,13.35238934,52.44088187
219029,4,12,16,2,3,5,t,t,f,f,13.32314189,52.49109312
219027,4,12,7,3,3,5,f,t,f,t,13.29781005,52.49162104
219026,2,12,21,5,3,5,t,t,f,f,13.42486148,52.50202525
219024,3,12,12,5,2,2,f,t,f,f,13.4302741,52.58879105
219023,4,12,14,2,3,0,t,t,f,f,13.3206747,52.5018733
