accident_id,district_code,accident_month,accident_hour,accident_weekday,accident_category_code,accident_type_code,involves_bicycle,involves_pedestrian,longitude,latitude
218732,1,12,6,6,3,6,f,t,13.37944605,52.55610619
218729,4,11,16,2,3,6,f,t,13.3142922,52.50779892
218721,3,12,8,7,2,5,t,f,13.3940032,52.59163818
218720,11,11,5,3,3,6,f,t,13.52084779,52.56854309
218719,1,12,16,1,2,6,f,t,13.38883497,52.55011119
218718,10,12,19,2,3,6,f,t,13.58701779,52.52360471
218715,8,12,17,6,3,2,t,t,13.42959607,52.48135183
218711,5,12,17,5,3,6,f,t,13.19900173,52.53486787
218710,7,12,15,2,3,6,f,t,13.4158648,52.45940996
218708,1,12,21,4,3,6,f,t,13.38995614,52.55527181
218705,4,12,11,5,3,5,t,f,13.30223816,52.54789185
218704,1,12,19,5,3,5,t,f,13.39902001,52.53908174
218703,4,12,19,6,2,5,t,f,13.30056107,52.50315602
218697,1,12,20,5,3,5,t,f,13.39547438,52.52893898
218696,4,12,7,4,3,1,t,f,13.31378039,52.47642556
218694,1,12,18,5,3,3,t,f,13.37689139,52.51776014
218693,5,12,0,1,3,6,f,t,13.19960463,52.53445739
218691,7,11,20,2,3,6,f,t,13.38063723,52.48226185
218690,5,12,16,1,3,6,f,t,13.20387243,52.54515399
218688,1,12,21,1,3,6,f,t,13.38656389,52.52370593
218686,5,12,16,6,2,6,f,t,13.18049088,52.55292715
218685,4,12,14,3,3,6,f,t,13.28333287,52.51866735
218682,3,12,16,6,3,1,t,f,13.40898608,52.53512985
218680,4,12,9,2,3,0,t,f,13.29737556,52.51060047
218679,12,11,7,3,2,6,f,t,13.32495477,52.5886721
218678,6,12,19,2,3,6,f,t,13.26652813,52.43059086
218673,5,12,16,5,3,6,f,t,13.19816983,52.53282077
218670,8,12,8,1,3,5,t,f,13.44934237,52.47412765
218668,8,12,13,5,3,0,f,t,13.42141541,52.48036449
218666,6,11,8,3,2,5,t,f,13.29200511,52.45451395
218662,5,12,10,7,3,6,f,t,13.18554196,52.55157
218655,4,12,20,4,3,6,f,t,13.33024391,52.51324344
218652,6,12,12,5,2,5,t,f,13.27854121,52.42994806
218651,11,12,7,5,3,5,t,f,13.46779069,52.54633364
218649,12,12,13,6,3,6,f,t,13.28506416,52.57573195
218645,9,12,12,5,3,6,f,t,13.52447222,52.40603115
218644,7,12,7,3,3,1,t,f,13.40085093,52.38690776
218639,10,11,15,2,3,5,t,f,13.57440999,52.51311761
218638,4,12,9,2,3,6,f,t,13.32034547,52.48638491
218636,2,12,16,7,3,6,f,t,13.40910342,52.50179348
218631,6,12,7,5,2,5,t,f,13.22909101,52.42586787
218629,4,12,18,5,3,6,f,t,13.33171559,52.50547089
218628,6,12,14,1,2,5,t,f,13.27776985,52.43191556
218623,2,12,15,3,3,5,t,f,13.42295865,52.48684089
218618,10,12,12,3,3,5,t,f,13.59176221,52.54497586
218614,5,12,4,6,2,5,t,f,13.23259903,52.53942847
218613,8,12,10,6,3,1,t,f,13.44756486,52.47793213
218604,1,12,9,5,3,5,t,f,13.36967575,52.53491083
218598,6,12,16,4,3,6,f,t,13.36265897,52.43659251
218597,8,12,9,6,3,6,f,t,13.49620299,52.4157517
218595,1,12,19,6,3,5,t,f,13.39116386,52.55028939
218593,1,11,16,2,3,6,f,t,13.42382724,52.51662243
218590,11,12,10,2,2,6,f,t,13.46549424,52.53073876
218588,4,12,16,2,3,6,f,t,13.32936923,52.50346903
218584,9,12,11,5,2,6,f,t,13.58621993,52.42540688
218580,1,12,12,2,2,6,f,t,13.38070528,52.51662691
218578,4,12,16,3,2,6,f,t,13.33092654,52.50106998
218571,2,12,17,3,3,6,f,t,13.45704827,52.51634359
218569,9,12,16,5,3,9,f,t,13.57441949,52.44433931
218568,9,12,10,5,3,6,f,t,13.58009862,52.41642267
218566,8,11,6,2,3,5,t,f,13.42118011,52.4673739
218561,7,12,18,2,3,6,f,t,13.36800821,52.45965892
218558,5,11,7,3,2,6,f,t,13.1802995,52.49261987
218557,4,12,15,2,3,5,t,f,13.32030756,52.4843298
218556,3,12,16,2,3,5,t,f,13.39244,52.57252736
218552,2,12,20,4,3,5,t,f,13.43005877,52.50347222
218547,9,12,17,5,2,5,t,f,13.571845,52.43025279
218544,9,11,9,3,3,6,t,t,13.52566811,52.45885405
218536,2,12,18,5,3,5,t,f,13.44384546,52.50008567
218533,1,12,17,4,3,6,f,t,13.37326068,52.50856863
218530,1,12,7,5,3,0,t,f,13.37057085,52.54550672
218527,12,12,21,7,3,3,t,f,13.30960036,52.58387487
218521,1,12,8,4,3,5,t,f,13.35857368,52.55416487
218519,2,12,16,5,3,6,f,t,13.43532705,52.51471203
218518,1,12,4,7,3,3,t,f,13.39904874,52.53237996
218516,5,11,17,2,3,6,f,t,13.20961566,52.55154162
218509,12,12,16,6,2,6,f,t,13.32199917,52.56549173
218508,1,12,18,6,3,6,f,t,13.39817002,52.52705235
218506,1,12,15,1,3,6,f,t,13.3303259,52.52727814
218503,6,12,17,6,2,6,f,t,13.30229768,52.45724106
218501,7,12,16,5,2,6,f,t,13.3743894,52.42327908
218498,1,12,15,2,3,5,t,f,13.3498684,52.53598641
218495,6,12,15,3,3,6,f,t,13.32742995,52.42834256
218490,6,12,15,7,3,0,f,t,13.29400801,52.44824917
218487,6,12,8,3,3,5,t,f,13.31866902,52.45442049
218485,9,12,9,4,3,5,t,f,13.5428179,52.43598944
218481,2,12,8,5,3,0,t,f,13.41826684,52.49574194
218480,1,12,4,7,3,6,f,t,13.39058686,52.51484718
218478,12,11,16,2,2,6,f,t,13.35180821,52.57362826
218469,5,12,14,3,3,1,t,f,13.17736162,52.54730308
218465,8,12,13,6,3,5,t,f,13.43794513,52.48287124
218462,6,11,7,3,3,6,f,t,13.35597741,52.44887108
218458,2,12,13,5,3,5,t,f,13.38283137,52.50418125
218457,8,12,18,2,3,1,t,f,13.43000879,52.4697683
218452,9,12,11,1,3,6,f,t,13.47874948,52.45181122
218445,1,12,0,4,3,6,f,t,13.37725714,52.55363858
